participant,day,auc,n_faulted,n_healthy,boot_se,ci_lo,ci_hi,frac_crossing,frac_benign,mean_severity,n_modes
T5,2121,0.956,14,26,0.0279,0.8874,0.9945,0.786,0.071,0.7393,4
T5,2126,0.8556,15,24,0.063,0.7111,0.9583,0.4,0.333,0.57,5
T5,2128,0.8638,17,19,0.0645,0.7214,0.969,0.706,0.059,0.6706,4
T5,2133,0.84,10,30,0.0743,0.6633,0.96,0.7,0.2,0.795,4
T5,2135,0.5842,23,16,0.0949,0.4076,0.7704,0.348,0.304,0.437,5
T5,2149,0.6854,17,23,0.0829,0.5166,0.8389,0.294,0.412,0.4265,4
