participant,aggregator,auc
T11,median,0.6841821381933799
T11,mean,0.5889399875092262
T11,90th percentile,0.46897887923692727
T11,max,0.45680037472321583
T11,top-decile mean,0.46511099755862145
T11,fraction above own median,0.4356086413444615
T5,median,0.736358359133127
T5,mean,0.669625580495356
T5,90th percentile,0.5095741421568627
T5,max,0.4867171375128999
T5,top-decile mean,0.5056880482456141
T5,fraction above own median,0.32244904540763675
