mode_a,mode_b,auc_invariant,auc_per_channel,change
CHANNEL_DROPOUT,GAIN_DRIFT,0.9985,0.6245,0.374
CHANNEL_DROPOUT,GEOMETRY_ROTATION,1.0,0.9996,0.0004
CHANNEL_DROPOUT,RATE_LOSS,0.9974,0.6574,0.34
GAIN_DRIFT,GEOMETRY_ROTATION,1.0,0.9976,0.0024
GAIN_DRIFT,RATE_LOSS,0.9969,0.5863,0.4106
GEOMETRY_ROTATION,RATE_LOSS,1.0,0.9992,0.0008
