day,auc,n_healthy_windows,P1_healthy_dispersion,P2_mean_firing_rate,P3_active_channels,P4_within_day_drift,P5_decoder_error,frac_crossed,mean_ew_len,median_ew_len,n_episodes
2121,0.956,84,0.2223900000000001,10.060026041666667,192.0,0.8017607398348492,38.302075688913696,0.3108108108108108,10.434782608695652,12.0,74
2126,0.8556,127,0.3212300000000001,10.912877296587926,192.0,0.7470166438134309,30.476415719801167,0.4774774774774775,7.867924528301887,8.0,111
2128,0.8638,171,0.6424600000000004,11.713642178362573,192.0,0.6960943441960126,52.79979351990768,0.5,6.554054054054054,5.0,148
2133,0.84,172,0.4818450000000002,11.469907743863049,192.0,0.9030557287895364,61.21754193036363,0.30405405405405406,11.422222222222222,11.0,148
2135,0.5842,169,0.3953600000000001,11.74108008711374,192.0,0.8626140311396451,80.10637231216161,0.6756756756756757,11.41,10.0,148
2149,0.6854,169,0.39536,9.962834894806049,191.0,0.7040398746047969,62.186502801104695,0.5,11.027027027027026,12.0,148
