day,group,score
2121,faulted,59.895833333333336
2121,healthy,1.8706854053407782
2121,healthy,4.029445686387417
2121,faulted,9.644339651174233
2121,faulted,27.13185517511625
2121,healthy,7.157333444879608
2121,faulted,22.55518993748448
2121,faulted,8.314021438425987
2121,faulted,13.443145245449525
2121,healthy,4.830486380990262
2121,faulted,16.563639648402674
2121,healthy,3.516384374898891
2121,healthy,5.122080992821722
2121,healthy,3.373786508786308
2121,healthy,15.474337455720297
2121,faulted,22.69031973579577
2121,healthy,2.5476132738195414
2121,healthy,3.537849098799052
2121,healthy,2.1634682269735785
2121,healthy,3.5813951912324544
2121,faulted,24.412914474588426
2121,healthy,5.146675782811233
2121,healthy,3.394031571744808
2121,healthy,8.954265477835413
2121,healthy,3.854019118133941
2121,faulted,6.25
2121,healthy,13.444175962398912
2121,healthy,1.958084343324725
2121,faulted,31.25
2121,faulted,12.628886406673995
2121,healthy,1.5540545922978946
2121,healthy,7.588168240119245
2121,healthy,4.988956436939784
2121,healthy,2.4101568510001714
2121,faulted,30.208333333333332
2121,healthy,1.6567907011754037
2121,healthy,8.7072594651977
2121,healthy,3.1026154704981854
2121,healthy,4.398249278331541
2121,faulted,21.991535925260127
2126,healthy,5.577117597426145
2126,faulted,6.799749355278742
2126,healthy,4.586279924674485
2126,faulted,13.092782816325439
2126,healthy,4.299420370328983
2126,healthy,5.162544886717722
2126,healthy,5.968933225602127
2126,faulted,5.696167412680135
2126,healthy,4.325709538871076
2126,faulted,3.643873009296805
2126,faulted,28.100630504825077
2126,healthy,3.1345046720177043
2126,healthy,2.072585683246043
2126,healthy,11.088089700512485
2126,faulted,8.97525321617767
2126,healthy,5.294648228062268
2126,healthy,3.4961864976992443
2126,healthy,8.918742940958849
2126,healthy,2.354194810520326
2126,faulted,5.437461258174135
2126,healthy,6.465563032681752
2126,faulted,8.453254693222082
2126,faulted,27.139984751437872
2126,healthy,1.4122658991300114
2126,healthy,11.086818793068112
2126,healthy,4.166666666666667
2126,faulted,7.174584794792254
2126,faulted,15.364583333333332
2126,faulted,17.943094661748255
2126,faulted,7.928857264778041
2126,healthy,2.136914965581213
2126,healthy,2.048101833785152
2126,healthy,7.44730997386679
2126,healthy,5.63814932399978
2126,healthy,4.89960711685657
2126,faulted,17.60363366773725
2126,faulted,30.208333333333332
2126,healthy,4.830988732092972
2126,healthy,8.022807180384754
2128,healthy,3.8350216572826916
2128,faulted,11.979166666666666
2128,healthy,1.6224494939547718
2128,faulted,28.183198755109398
2128,healthy,5.348567769867527
2128,healthy,52.083333333333336
2128,faulted,7.908089354811713
2128,faulted,28.578153372649208
2128,healthy,14.308501573057892
2128,healthy,7.4029712481329915
2128,healthy,2.895232766997446
2128,healthy,5.208333333333333
2128,healthy,2.127807735711728
2128,healthy,6.331098952569973
2128,faulted,4.448779049041367
2128,healthy,3.1498617156334068
2128,faulted,13.774914916799528
2128,faulted,5.992079481490819
2128,healthy,3.7151676836065928
2128,healthy,2.9519575861959266
2128,faulted,10.90072368441249
2128,faulted,4.447906116928676
2128,healthy,5.335779037850459
2128,faulted,20.32252737065782
2128,faulted,4.826013489701813
2128,faulted,14.834453756998025
2128,healthy,1.2787414467594087
2128,healthy,3.357407016397545
2128,healthy,2.1625231548873503
2128,healthy,3.5795358464286924
2128,faulted,34.76769021976179
2128,faulted,14.980042847528138
2128,faulted,7.339882559522472
2128,faulted,15.625
2128,healthy,2.7999426872809337
2128,faulted,25.04473089554039
2133,healthy,4.234979322708945
2133,faulted,19.726932123861353
2133,healthy,30.208333333333332
2133,healthy,7.85643847467267
2133,healthy,5.221727302790694
2133,healthy,7.65442468521388
2133,healthy,2.678747575885407
2133,faulted,28.027168388435626
2133,faulted,59.895833333333336
2133,faulted,28.731821656863833
2133,healthy,4.457663031082291
2133,healthy,3.07633590297863
2133,healthy,3.986384441734208
2133,healthy,0.9601920855430965
2133,healthy,1.470215149614308
2133,healthy,7.286468046263403
2133,faulted,7.653883492430622
2133,healthy,3.404880239014577
2133,healthy,1.1007132470673056
2133,healthy,21.566455708663753
2133,healthy,5.647191707897607
2133,healthy,1.6957031521085892
2133,faulted,58.47038226667874
2133,healthy,16.968693397606447
2133,healthy,5.6238436616693885
2133,healthy,9.292970672291297
2133,faulted,4.186026508089878
2133,healthy,6.762772269082918
2133,faulted,8.84863057566286
2133,healthy,3.7173874000920426
2133,healthy,12.090675669268611
2133,healthy,4.132658145245907
2133,healthy,13.069357775934048
2133,faulted,52.254607472025725
2133,faulted,15.118166008988233
2133,healthy,16.865702889918534
2133,healthy,20.833333333333332
2133,healthy,3.097488620081555
2133,healthy,8.461948645919072
2133,healthy,5.420149428396598
2135,healthy,14.797337531355181
2135,healthy,6.417211098593485
2135,healthy,1.4155491240583324
2135,healthy,37.29287134979245
2135,faulted,4.57838362804174
2135,faulted,2.6439084255794825
2135,faulted,12.5
2135,faulted,5.208333333333333
2135,faulted,59.895833333333336
2135,faulted,13.771205969577537
2135,faulted,20.238185704683087
2135,healthy,1.3347309685951374
2135,faulted,19.701385753161333
2135,healthy,3.975513146217725
2135,faulted,9.74539248206263
2135,healthy,7.842022498416881
2135,faulted,6.912317350601666
2135,healthy,7.209415560390341
2135,healthy,4.234573484120467
2135,healthy,4.658574613860356
2135,healthy,14.865326390409322
2135,faulted,30.208333333333332
2135,faulted,29.6875
2135,faulted,8.514792271844172
2135,faulted,23.100719639006705
2135,healthy,5.208333333333333
2135,faulted,4.6875
2135,faulted,9.504939458135562
2135,faulted,18.47344014848009
2135,faulted,1.35357667955432
2135,healthy,19.791666666666664
2135,faulted,7.905866550251244
2135,healthy,6.326798163374087
2135,healthy,59.895833333333336
2135,faulted,8.261519841962253
2135,faulted,13.240919977340305
2135,healthy,9.53710842272298
2135,faulted,2.763563589776773
2135,faulted,5.9736712010402835
2149,faulted,2.893013061369057
2149,healthy,2.611417550635541
2149,healthy,4.499431814198212
2149,healthy,1.9935764039727486
2149,faulted,29.6875
2149,healthy,10.614903806417896
2149,healthy,4.701412983262638
2149,healthy,3.3218859173047823
2149,faulted,4.348113326887996
2149,faulted,7.254934152476277
2149,faulted,3.4438178591633206
2149,healthy,16.086800837553938
2149,faulted,6.759799225905024
2149,faulted,3.6821867374037076
2149,healthy,4.95599093450824
2149,faulted,6.714529284260417
2149,healthy,1.912951788815156
2149,faulted,4.461657642846974
2149,faulted,43.241142656618315
2149,healthy,59.375
2149,healthy,5.848451554073232
2149,faulted,4.624936578445219
2149,healthy,14.966264162344313
2149,faulted,5.405732208552311
2149,healthy,4.577526147497124
2149,faulted,7.8125
2149,faulted,2.613989640734541
2149,faulted,19.46641451039806
2149,healthy,2.7691734862539445
2149,healthy,4.092455256888818
2149,healthy,3.254261518810668
2149,healthy,5.208333333333333
2149,healthy,1.8153967833332745
2149,healthy,6.825000802790415
2149,healthy,4.025001349961515
2149,faulted,8.972399630017543
2149,healthy,1.9535752559341342
2149,healthy,2.41512921395289
2149,faulted,8.982807526391749
2149,healthy,2.4272925523879385
