day,n_faulted,achieved_damage_deg,pre_onset_baseline_deg,spurious_crossing_rate,pre_onset_spread_deg,auc,P5_decoder_error
2121,14,5.768,50.668,0.0,1.294,0.956,38.302075688913696
2126,16,1.961,45.116,0.0052,1.683,0.8556,30.476415719801167
2128,21,9.482,67.071,0.108,3.645,0.8638,52.79979351990768
2133,10,4.146,61.211,0.0303,4.207,0.84,61.21754193036363
2135,24,-2.643,77.126,0.3605,13.059,0.5842,80.10637231216161
2149,17,8.219,67.526,0.0,1.483,0.6854,62.186502801104695
