day,modes_total,modes_measurable,modes_monotone,monotone_fraction,baseline_deg
2121,4,4,3,0.75,52.75
2126,4,4,4,1.0,44.95
2128,4,4,3,0.75,63.94
2133,4,4,2,0.5,74.65
2135,4,4,2,0.5,86.0
2149,4,4,2,0.5,68.01
