property,spearman_rho,p
mean_avg_outliers,-0.2261083743842364,0.23823049296529353
p95_avg_outliers,-0.10934540733067803,0.5723193339685068
n_silent_channels,0.2928995786884383,0.12308027316439195
n_lowvar_channels,0.30860959165257645,0.10334475596239648
mean_firing,-0.8788177339901475,3.6132142045895275e-10
mean_raw_variance,-0.4270935960591132,0.020846840152573976
median_raw_variance,-0.6995073891625614,2.4158201775754774e-05
block_order,0.9162561576354679,3.0930556084621046e-12
median_angle_error,0.8576354679802953,2.789896210345672e-09
