day,n_healthy,n_faulted_all,n_faulted_unambiguous,retained_fraction,auc_all,auc_unambiguous,P5_decoder_error
2121,26,14,3,0.214,0.956,,38.302075688913696
2126,24,15,4,0.267,0.8556,,30.476415719801167
2128,19,17,7,0.412,0.8638,0.8947,52.79979351990768
2133,30,10,2,0.2,0.84,,61.21754193036363
2135,16,23,1,0.043,0.5842,,80.10637231216161
2149,23,17,4,0.235,0.6854,,62.186502801104695
