episode_id,block_id,extractor,mode,severity,onset_w,scores
EP00003,T11/day_658/block_5,F0_control_mean,RATE_LOSS,sub,26,"3.3432,2.8892,1.5438,0.2203,0.0000,0.2083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0995,0.0000,0.0000,0.0000,0.2681,0.4958,0.0000,0.0000,0.0000,0.1167,4.4394,13.5063,24.5537,34.8240,45.6424,54.3387,60.4225,62.7605,63.1759,62.7806,62.2451,62.6175,62.3982,61.3343,60.9573,60.9869,60.8836,61.0360,61.3226,61.6166,61.0652,60.0042,59.9024,58.6309,57.9081,57.9501,58.2940,59.4689,59.0223,58.7985,59.3115,59.5473,59.8163"
EP00003,T11/day_658/block_5,F1_variability,RATE_LOSS,sub,26,"0.0000,0.5196,1.7150,1.1725,0.9697,0.5635,0.1321,0.0929,0.0000,0.0000,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1968,2.4588,8.7269,17.7178,19.4899,13.7393,11.8535,13.8485,14.9705,15.5137,15.5021,15.8598,15.5264,15.3214,14.8010,14.3014,14.0361,14.0396,14.1895,13.7441,13.7907,13.8298,14.3215,14.5740,15.4426,16.3269,16.4313,16.4384,16.2116,15.5485,14.8649,14.3822,14.2211,14.1713"
EP00003,T11/day_658/block_5,F2_covariance,RATE_LOSS,sub,26,"0.1345,0.0000,0.0000,0.0000,0.7068,0.0000,0.5655,1.0111,0.0000,0.0000,0.1715,2.2537,0.6512,0.4171,0.0000,0.0000,0.0000,0.0000,0.3021,0.0000,0.0000,0.0000,3.1199,10.3848,16.1177,15.2142,10.6424,2.9919,0.0000,0.0000,0.9905,0.0000,0.0000,0.0000,0.0136,0.6850,1.5311,0.8841,0.0000,0.0000,0.5672,0.0000,0.0000,0.8245,0.5165,0.0000,0.0000,1.6580,0.0000,0.0000,0.0000,0.0000,0.0000,0.1225,0.1245"
EP00003,T11/day_658/block_5,F3_spectral,RATE_LOSS,sub,26,"0.0000,0.0000,0.7096,0.8449,0.8324,0.7483,0.5292,0.4206,0.0648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0382,0.0000,0.0000,0.0000,0.6439,4.0290,10.7484,16.1678,16.7251,13.0050,4.9535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0306,0.0000,0.0000,0.2495,0.0000,0.0886,0.5572,0.6969,0.3584,0.1453,0.0077,0.0216,0.0000,0.0000,0.0000"
EP00003,T11/day_658/block_5,F4_counts,RATE_LOSS,sub,26,"0.1873,0.3462,0.3462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9681,0.0000,0.0000,0.0000,0.1271,1.6903,1.8638,0.0000,1.5428,0.0000,0.0000,1.1620,6.3297,20.5061,29.8438,29.1836,29.6852,27.9507,27.4264,28.8616,29.5187,28.1880,28.5749,30.1852,29.9667,32.2921,28.9336,31.3413,30.3285,30.3285,30.1694,34.3667,31.9921,31.1983,34.9623,29.0032,30.6416,34.7095,31.7560,32.7789,29.7375,31.3540,29.6823,29.8964,31.8612"
EP00004,T11/day_658/block_5,F0_control_mean,RATE_LOSS,crossing,18,"2.1304,1.8213,0.9053,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4515,8.1242,19.4968,34.7574,51.8454,68.6750,81.4423,91.0398,95.7117,97.1202,97.4125,97.4760,97.1768,97.1633,97.1956,97.4511,97.5037,97.6511,97.5019,97.2806,97.4427,97.3565,96.9244,96.7640,96.7753,96.7268,96.7906,96.8979,97.0196,96.7954,96.3563,96.2951,95.7668,95.4519,95.4184,95.6075,96.1278,95.9728,95.8996,96.1179,96.2151,96.3213"
EP00004,T11/day_658/block_5,F1_variability,RATE_LOSS,crossing,18,"0.0000,0.0000,0.9054,0.4869,0.3304,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5436,14.9597,42.1302,78.8238,94.3051,71.1828,38.0541,23.9454,27.1341,27.7687,27.9301,27.8806,28.1973,28.3685,28.3289,28.3146,28.4171,28.6469,28.6388,28.7800,28.6328,28.5899,28.3890,28.1329,27.9709,27.9042,27.9346,27.6890,27.6778,27.6473,27.8329,28.0072,28.3962,28.7954,28.9180,28.9670,28.9108,28.6145,28.3542,28.1629,28.0988,28.0701"
EP00004,T11/day_658/block_5,F2_covariance,RATE_LOSS,crossing,18,"0.0000,0.0000,0.0000,0.0000,0.2042,0.0000,0.1189,0.3878,0.0000,0.0000,0.0000,1.1375,0.0000,0.7056,9.8835,18.9671,24.9297,27.4968,25.7750,22.4888,12.1129,0.3885,0.0000,0.0000,0.0000,0.2243,0.9765,0.2347,0.0000,0.0000,0.3753,0.0000,0.0000,0.0000,0.0000,0.1910,0.7015,0.3112,0.0000,0.0000,0.1199,0.0000,0.0000,0.2752,0.0893,0.0000,0.0000,0.7781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
EP00004,T11/day_658/block_5,F3_spectral,RATE_LOSS,crossing,18,"0.0000,0.0000,0.0516,0.1289,0.1218,0.0737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5344,8.6297,14.7216,18.3365,19.6436,19.2844,17.3808,11.4019,1.4334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
EP00004,T11/day_658/block_5,F4_counts,RATE_LOSS,crossing,18,"0.0000,0.0767,0.0767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6770,0.0000,0.2257,9.0570,20.3264,28.1277,29.3677,221.0512,541.4727,561.5867,574.3593,574.9763,564.0026,564.0026,564.9252,568.5789,571.0344,569.1489,569.9886,569.5670,569.6838,567.5056,575.4740,578.1459,4000305554.0181,564.3786,572.6296,574.0810,578.8640,578.8640,569.3198,574.9763,574.9514,574.9763,567.3242,571.7568,562.3371,562.4577,559.4539,557.9010,565.9465,569.1640,567.6850,566.2426,565.8331"
