episode_id,arm,onset_w,mode,scores
EP00005,C2_covariance,25,RATE_LOSS,"1.3611,1.1340,1.0025,1.3404,1.2356,0.7185,0.2576,0.2644,0.0872,0.1638,0.1969,0.4276,0.1593,0.2789,0.4145,0.1510,0.3540,0.0000,0.3493,0.3970,0.2496,0.0850,0.1834,0.1342,0.2443,0.0025,0.4347,0.7070,0.7968,0.7547,0.8287,1.1068,0.9844,0.9169,0.8962,0.9703,1.2549,1.0821,1.1087,0.7457,0.6296,0.6079"
EP00005,C3_both,25,RATE_LOSS,"1.3611,1.1340,1.0025,1.3404,1.2356,0.7185,0.2576,0.2691,0.6195,0.2214,0.1969,0.4276,0.2366,0.2789,0.4145,0.2479,0.3540,0.1357,0.3493,0.3970,0.2954,0.3074,0.5957,1.0889,1.6011,2.1332,2.5240,2.9613,3.2966,3.7224,3.9711,4.2343,4.4167,4.7510,5.0261,4.9657,4.8501,4.7837,4.7820,4.7754,4.6649,4.7591"
EP00006,C1_variability,21,RATE_LOSS,"0.0886,0.3161,0.1821,0.1338,0.2077,0.5915,0.1303,0.3339,0.4814,0.2987,0.0122,0.0158,0.3425,0.0994,0.2359,0.2645,0.4613,0.6284,1.2415,2.0150,2.9895,4.0381,5.2958,6.6892,7.9947,9.2420,10.1577,10.9364,11.4192,11.8472,11.9640,12.0113,12.0531,12.3044,12.5335,12.4833,12.3869,12.3316,12.3303,12.3248,12.2327,12.3112"
EP00006,C2_covariance,21,RATE_LOSS,"1.5168,1.2890,1.1571,1.4960,1.3909,0.8723,0.4100,0.4168,0.2390,0.0128,0.0459,0.2773,0.0082,0.1281,0.2642,0.0000,0.1922,0.1444,0.1731,0.2540,0.1072,0.0999,0.4463,0.4153,0.5763,0.3070,0.7180,0.8288,0.9758,0.9216,1.0086,1.1934,1.1373,1.0713,1.0505,1.1248,1.4103,1.2370,1.2637,0.8995,0.7714,0.6777"
EP00006,C3_both,21,RATE_LOSS,"1.5168,1.2890,1.1571,1.4960,1.3909,0.8723,0.4100,0.4168,0.4814,0.2987,0.0459,0.2773,0.3425,0.1281,0.2642,0.2645,0.4613,0.6284,1.2415,2.0150,2.9895,4.0381,5.2958,6.6892,7.9947,9.2420,10.1577,10.9364,11.4192,11.8472,11.9640,12.0113,12.0531,12.3044,12.5335,12.4833,12.3869,12.3316,12.3303,12.3248,12.2327,12.3112"
EP00007,C1_variability,20,RATE_LOSS,"0.1195,0.2992,0.1117,0.1325,0.2064,0.2600,0.1290,0.1516,0.4758,0.0848,0.0109,0.0171,0.2120,0.1007,0.2699,0.6808,1.5393,2.6137,4.2819,6.4637,9.0720,11.6607,14.2382,16.9743,19.5779,22.0690,24.0307,25.6711,26.6432,27.1705,27.1890,27.2074,27.2325,27.3832,27.5207,27.4905,27.4328,27.3996,27.3988,27.3954,27.3402,27.3873"
EP00007,C2_covariance,20,RATE_LOSS,"1.2640,1.0373,0.9061,1.2433,1.1387,0.6226,0.1626,0.1694,0.0075,0.2581,0.2910,0.5213,0.2535,0.3729,0.5035,0.2125,0.2900,0.1197,0.0559,0.0075,0.0941,0.3977,1.0001,1.1750,1.6858,1.1945,1.3767,1.0375,0.7886,0.6808,0.8400,1.1668,0.8864,0.8207,0.7999,0.8739,1.1580,0.9855,1.0121,0.6497,0.5441,0.5031"
EP00007,C3_both,20,RATE_LOSS,"1.2640,1.0373,0.9061,1.2433,1.1387,0.6226,0.1626,0.1694,0.4758,0.2581,0.2910,0.5213,0.2535,0.3729,0.5035,0.6808,1.5393,2.6137,4.2819,6.4637,9.0720,11.6607,14.2382,16.9743,19.5779,22.0690,24.0307,25.6711,26.6432,27.1705,27.1890,27.2074,27.2325,27.3832,27.5207,27.4905,27.4328,27.3996,27.3988,27.3954,27.3402,27.3873"
EP00008,C1_variability,22,RATE_LOSS,"0.1622,0.2824,0.3163,0.1377,0.2116,0.4976,0.1343,0.2555,0.5501,0.2699,0.0161,0.0119,0.4477,0.0954,0.2320,0.2597,0.3364,0.1964,0.3541,0.6416,0.6229,0.6368,0.8716,1.2130,1.4737,1.6440,1.6590,1.8550,2.5062,2.6810,2.6790,2.3282,2.6030,3.1472,3.6861,3.8543,4.0016,4.1649,4.3662,4.5209,4.5305,4.7094"
EP00008,C2_covariance,22,RATE_LOSS,"1.4861,1.2584,1.1266,1.4653,1.3603,0.8419,0.3799,0.3867,0.2090,0.0426,0.0757,0.3070,0.0380,0.1579,0.2939,0.0297,0.2327,0.1186,0.2294,0.2862,0.1428,0.0297,0.2968,0.2420,0.3289,0.0867,0.5264,0.8367,0.9212,0.8772,0.9616,1.1926,1.1261,1.0751,1.0317,1.1215,1.3698,1.2013,1.2277,0.8697,0.7455,0.6573"
