day,n_faulted,n_healthy,auc_loose,auc_strict,delta
658,19,13,0.8785,0.8947,0.0162
672,22,17,0.7219,0.7513,0.0294
675,24,12,0.9062,0.9062,0.0
689,10,22,0.5636,0.5773,0.0136
692,25,6,0.8867,0.8867,0.0
702,18,5,0.4556,0.4778,0.0222
709,21,18,0.7063,0.6825,-0.0238
715,24,7,0.5536,0.5536,0.0
751,15,18,0.6481,0.6519,0.0037
758,8,25,0.685,0.695,0.01
770,15,19,0.4825,0.514,0.0316
783,20,8,0.3187,0.3187,0.0
800,23,5,0.9739,0.9652,-0.0087
