trial_uid,participant,cohort,trial_day,block,block_id,trial_in_block,start_bin_matlab,stop_bin_matlab,start_bin,stop_bin,n_bins_in_trial,angle_error_deg,success,time_to_target,path_efficiency,orth_changes,excluded,used_click
T11_d665_b6_t61,T11,main,665,6,T11/day_665/block_6,61,10211,10408,10210,10408,198,18.913497924804688,True,3.96,0.8992141485214233,1.0,False,True
T11_d665_b6_t62,T11,main,665,6,T11/day_665/block_6,62,10409,10534,10408,10534,126,12.835018157958984,True,2.52,0.8916160464286804,1.0,False,True
T11_d665_b6_t63,T11,main,665,6,T11/day_665/block_6,63,10535,10675,10534,10675,141,11.041139602661133,True,2.82,0.8985355496406555,1.0,False,True
T11_d665_b6_t64,T11,main,665,6,T11/day_665/block_6,64,10676,11013,10675,11013,338,21.972164154052734,True,6.76,0.8579062223434448,2.0,False,True
T11_d665_b6_t65,T11,main,665,6,T11/day_665/block_6,65,11014,11182,11013,11182,169,31.38405990600586,True,3.38,0.7773822546005249,1.0,False,True
T11_d665_b6_t66,T11,main,665,6,T11/day_665/block_6,66,11183,11367,11182,11367,185,12.232051849365234,True,3.7,0.9502297043800354,1.0,False,True
T11_d665_b6_t67,T11,main,665,6,T11/day_665/block_6,67,11368,11753,11367,11753,386,72.74699401855469,True,7.72,0.6304684281349182,7.0,False,True
T11_d665_b6_t68,T11,main,665,6,T11/day_665/block_6,68,11754,12009,11753,12009,256,26.161090850830078,True,5.12,0.9076629877090454,7.0,False,True
T11_d665_b6_t69,T11,main,665,6,T11/day_665/block_6,69,12010,12299,12009,12299,290,21.65621566772461,True,5.8,0.7638865113258362,4.0,False,True
T11_d665_b6_t70,T11,main,665,6,T11/day_665/block_6,70,12300,12505,12299,12505,206,25.925012588500977,True,4.12,0.8859200477600098,1.0,False,True
T11_d665_b6_t71,T11,main,665,6,T11/day_665/block_6,71,12506,12688,12505,12688,183,7.318562030792236,True,3.66,0.9363599419593811,1.0,False,True
T11_d665_b6_t72,T11,main,665,6,T11/day_665/block_6,72,12689,12856,12688,12856,168,26.785749435424805,True,3.36,0.7852557897567749,2.0,False,True
T11_d665_b6_t73,T11,main,665,6,T11/day_665/block_6,73,12857,13082,12856,13082,226,19.01717758178711,True,4.52,0.8868414163589478,1.0,False,True
T11_d665_b6_t74,T11,main,665,6,T11/day_665/block_6,74,13083,13235,13082,13235,153,27.254642486572266,True,3.06,0.7743054032325745,0.0,False,True
T11_d665_b6_t75,T11,main,665,6,T11/day_665/block_6,75,13236,13413,13235,13413,178,6.808915138244629,True,3.56,0.889407217502594,1.0,False,True
T11_d665_b6_t76,T11,main,665,6,T11/day_665/block_6,76,13414,13588,13413,13588,175,20.966720581054688,True,3.5,0.8347418904304504,0.0,False,True
T11_d665_b6_t77,T11,main,665,6,T11/day_665/block_6,77,13589,13743,13588,13743,155,18.253292083740234,True,3.1,0.9250645637512207,0.0,False,True
T11_d665_b6_t78,T11,main,665,6,T11/day_665/block_6,78,13744,13911,13743,13911,168,18.671945571899414,True,3.36,0.7884002923965454,1.0,False,True
T11_d665_b6_t79,T11,main,665,6,T11/day_665/block_6,79,13912,14147,13911,14147,236,18.60196304321289,True,4.72,0.902599036693573,2.0,False,True
T11_d665_b6_t80,T11,main,665,6,T11/day_665/block_6,80,14148,14321,14147,14321,174,19.670696258544922,True,3.48,0.8552595973014832,1.0,False,True
T11_d665_b6_t81,T11,main,665,6,T11/day_665/block_6,81,14322,14442,14321,14442,121,15.89264965057373,True,2.42,0.8397022485733032,0.0,False,True
T11_d665_b6_t82,T11,main,665,6,T11/day_665/block_6,82,14443,14584,14442,14584,142,11.246723175048828,True,2.84,0.8030386567115784,0.0,False,True
T11_d665_b6_t83,T11,main,665,6,T11/day_665/block_6,83,14585,14742,14584,14742,158,14.297808647155762,True,3.16,0.8514651656150818,1.0,False,True
T11_d665_b6_t84,T11,main,665,6,T11/day_665/block_6,84,14743,14917,14742,14917,175,16.220623016357422,True,3.5,0.8839136958122253,0.0,False,True
T11_d665_b6_t85,T11,main,665,6,T11/day_665/block_6,85,14918,15116,14917,15116,199,19.787261962890625,True,3.98,0.9046513438224792,1.0,False,True
T11_d665_b7_t0,T11,main,665,7,T11/day_665/block_7,0,262,417,261,417,156,17.580535888671875,True,3.12,0.8910126090049744,1.0,False,True
T11_d665_b7_t1,T11,main,665,7,T11/day_665/block_7,1,418,560,417,560,143,17.389310836791992,True,2.86,0.8260822296142578,1.0,False,True
T11_d665_b7_t2,T11,main,665,7,T11/day_665/block_7,2,561,755,560,755,195,19.715286254882812,True,3.9,0.8590103983879089,0.0,False,True
T11_d665_b7_t3,T11,main,665,7,T11/day_665/block_7,3,756,954,755,954,199,17.05994415283203,True,3.98,0.8654883503913879,1.0,False,True
T11_d665_b7_t4,T11,main,665,7,T11/day_665/block_7,4,955,1093,954,1093,139,15.436888694763184,True,2.78,0.9343618154525757,1.0,False,True
T11_d665_b7_t5,T11,main,665,7,T11/day_665/block_7,5,1094,1243,1093,1243,150,25.49793815612793,True,3.0,0.8055577278137207,0.0,False,True
T11_d665_b7_t6,T11,main,665,7,T11/day_665/block_7,6,1244,1556,1243,1556,313,23.505231857299805,True,6.26,0.8429388403892517,2.0,False,True
T11_d665_b7_t7,T11,main,665,7,T11/day_665/block_7,7,1557,1763,1556,1763,207,20.560874938964844,True,4.14,0.8280624747276306,0.0,False,True
T11_d665_b7_t8,T11,main,665,7,T11/day_665/block_7,8,1764,1947,1763,1947,184,17.941669464111328,True,3.68,0.9114978909492493,1.0,False,True
T11_d665_b7_t9,T11,main,665,7,T11/day_665/block_7,9,1948,2149,1947,2149,202,26.003467559814453,True,4.04,0.7780284881591797,5.0,False,True
T11_d665_b7_t10,T11,main,665,7,T11/day_665/block_7,10,2150,2356,2149,2356,207,13.733827590942383,True,4.14,0.9048916697502136,0.0,False,True
