participant,pearson_r,pearson_p,spearman_rho,spearman_p,n_ref_bins,n_bins
T11,0.9853881704319322,1.0804668811123405e-34,0.9948616600790513,2.068398524803844e-44,30732,440045
T5,0.9803468892007362,6.02034866053118e-32,0.9802371541501975,6.778623100779787e-32,12839,251974
