day,auc,n_healthy_windows,P1_healthy_dispersion,P2_mean_firing_rate,P3_active_channels,P4_within_day_drift,P5_decoder_error,frac_crossed,mean_ew_len,median_ew_len,n_episodes
658,0.8785,341,0.8648499983504297,41.95460319949818,384.0,1.5526687070472098,33.62466663194343,0.7162162162162162,6.547169811320755,4.0,74
672,0.7219,110,0.6671700020030511,48.59888592645693,383.0,0.9375928603170882,72.2736133178743,0.581081081081081,13.418604651162791,13.0,74
675,0.9062,110,0.7165900004713059,44.97985989236213,384.0,1.85592186084426,54.554284437223686,0.7567567567567568,11.232142857142858,9.5,74
689,0.5636,110,0.6232448031116473,45.70776977019251,382.0,1.1121688167629742,77.51742845835683,0.44594594594594594,7.212121212121212,4.0,74
692,0.8867,110,0.5930399999999998,48.796634709973056,381.0,0.9654605206688348,43.17879908570725,0.8513513513513513,6.4603174603174605,4.0,74
702,0.4556,110,1.3294231578348126,46.56842576289597,382.0,0.807880192819832,50.482606071440905,0.8108108108108109,4.2,1.0,74
709,0.7063,110,0.5710206077873465,51.69572779444151,383.0,0.7363572736382943,59.45643475764124,0.6081081081081081,9.644444444444444,8.0,74
715,0.5536,110,0.4880224995286942,50.50213384994083,382.0,0.5583622407591433,80.1254648173049,0.7972972972972973,9.05084745762712,8.0,74
751,0.6481,55,0.4941999999999995,46.35356880068157,384.0,0.7109066004485667,78.02043426019569,0.5135135135135135,2.8421052631578947,2.0,37
758,0.685,110,0.4870522650699657,49.87019447452937,384.0,0.8532901641988794,45.27497912452755,0.4594594594594595,3.735294117647059,1.0,74
770,0.4825,110,1.025088816869348,51.02082118956251,379.0,1.319761496588214,80.05021076050689,0.5135135135135135,11.894736842105264,8.5,74
783,0.3187,111,0.4447799999999997,49.30584531391136,379.0,0.6180595789062926,89.29621356182648,0.7837837837837838,4.172413793103448,2.0,74
800,0.9739,110,0.7412999993814111,48.77714468821978,382.0,1.3089267658778274,42.480696649594606,0.8243243243243243,5.131147540983607,3.0,74
