day,n_faulted,n_healthy,auc_loose,auc_strict,delta
2121,14,26,0.956,0.956,0.0
2126,15,24,0.8556,0.8722,0.0167
2128,17,19,0.8638,0.8947,0.031
2133,10,30,0.84,0.8633,0.0233
2135,23,16,0.5842,0.5842,0.0
2149,17,23,0.6854,0.688,0.0026
