task,trial_day,block,primary,mean_firing
personal_use,658,8,25.724220457288713,20.416137090197612
personal_use,658,9,23.37367251142815,20.32846511804069
random_targets,665,8,26.868112737860017,21.765966836212282
random_targets,665,9,25.542058653041575,21.771902652667567
