episode_id,block_id,split,mode,rate,severity,onset_w,n_windows,crossing_w,crossed,clipped_fraction,detector,scores,attribution
EP00003,T11/day_658/block_5,fit,RATE_LOSS,fast,sub,26,55,41,True,0.0,mean_activity,"0.5393,0.6928,0.5534,0.2064,0.0945,0.0123,0.7149,0.6573,0.0696,0.0123,0.0385,0.3579,0.5449,0.1295,1.4785,1.0273,4.1419,4.7316,5.1409,4.6359,3.3542,4.2352,0.5307,0.6917,3.2314,4.2858,5.6987,7.3422,8.3822,9.1966,9.0509,9.0636,9.1012,9.5712,9.3423,7.6195,5.3938,3.7412,2.6836,2.7288,2.2647,1.8158,1.5935,0.5631,0.8871,2.6277,4.0548,3.8343,1.3551,2.1659,3.2965,3.7305,6.0895,6.2185,5.7913",
EP00003,T11/day_658/block_5,fit,RATE_LOSS,fast,sub,26,55,41,True,0.0,robust_dispersion,"0.0796,0.2194,0.3647,0.2094,0.0814,0.0531,1.3398,1.1022,0.2760,0.6180,0.7881,0.7310,0.0531,0.1608,1.0998,0.3175,0.1978,0.0877,0.9448,0.9820,0.9504,0.8845,1.0047,0.8097,0.9991,0.9740,0.5788,0.6108,0.3698,0.6629,0.6363,0.6787,0.8107,0.9351,0.9565,0.8661,0.8475,0.9928,0.8849,0.8494,0.7686,0.8466,0.9290,0.7171,0.7938,0.2815,0.7166,0.9018,0.9767,0.8148,0.8155,0.8468,0.9624,0.8114,0.9335",
EP00003,T11/day_658/block_5,fit,RATE_LOSS,fast,sub,26,55,41,True,0.0,distribution_shift,"0.4121,0.1620,0.5920,0.6631,0.2089,0.3602,0.2239,0.0257,0.6280,1.0621,1.1571,1.1016,0.9361,1.1317,0.1017,0.0257,1.5681,1.9210,0.1566,0.0597,0.7187,0.8542,0.6859,3.4570,5.0469,8.8382,13.5148,18.6021,21.4245,21.6782,21.2914,22.1609,21.5544,24.4160,24.0496,22.6933,23.5611,23.3949,23.2444,22.7778,23.1570,23.7312,22.0847,22.3351,23.0274,22.5882,23.1280,24.0471,23.8859,22.9843,23.4714,22.0790,21.7142,21.1308,22.4313",
EP00003,T11/day_658/block_5,fit,RATE_LOSS,fast,sub,26,55,41,True,0.0,decoder_guard,"1.0986,1.0389,0.5534,0.2064,0.0945,0.0123,0.7149,0.6573,0.0696,0.0123,0.0385,0.3579,0.5449,0.1295,1.4785,1.0273,4.1419,4.7316,5.1409,4.6359,3.3542,4.2352,1.5508,1.6348,3.2314,4.2858,5.6987,7.3422,8.3822,9.1966,9.0509,9.0636,9.1012,9.5712,9.3423,7.6195,5.3938,3.7412,2.6836,2.7288,2.2647,2.0852,2.0003,2.0819,2.2077,2.6277,4.0548,3.8343,2.2129,2.1659,3.2965,3.7305,6.0895,6.2185,5.7913","profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,level,level,level,level,level,level,level,level,profile,profile,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,dispersion,profile,dispersion,dispersion,level,dispersion,dispersion,dispersion,level,level,level,level,level"
EP00003,T11/day_658/block_5,fit,RATE_LOSS,fast,sub,26,55,41,True,0.0,decoder_guard_joint,"0.1234,0.0794,0.0000,0.8032,0.9245,0.0000,0.0000,0.0000,0.0000,0.0000,0.4530,0.7918,0.2129,0.7874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8263,0.8832,1.1493,1.4473,1.8141,3.0021,4.0658,4.7544,5.1283,5.2428,5.0054,4.4510,4.9802,3.8570,2.7357,2.3776,2.0485,1.8751,1.9824,2.0463,2.0600,1.9182,1.7657,1.9957,2.1768,2.7676,2.9378,2.3829,1.9077,1.9903,1.8782,2.0234,1.9186,1.9121","profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,profile,level,level,level,level,level,level,level,level,profile,profile,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,dispersion,profile,dispersion,dispersion,level,dispersion,dispersion,dispersion,level,level,level,level,level"
EP00004,T11/day_658/block_5,fit,RATE_LOSS,fast,crossing,18,55,18,True,0.0,mean_activity,"0.1364,0.3672,0.1575,0.3642,0.5324,0.6560,1.7494,1.6627,0.7791,0.6930,0.6167,0.1364,0.3404,0.9882,1.3061,5.2782,7.6088,11.8987,16.6434,20.6363,24.6257,25.0691,27.5442,27.5128,28.2947,28.0170,27.9934,28.3074,28.5673,29.0245,28.8872,28.8987,28.9325,29.3565,29.1501,27.5959,25.5879,24.0971,23.1429,23.1837,22.7650,22.3600,22.1595,20.2139,19.9216,18.3514,17.0639,17.2628,19.4994,22.6758,23.6959,24.0874,26.2156,26.3320,25.9465",
EP00004,T11/day_658/block_5,fit,RATE_LOSS,fast,crossing,18,55,18,True,0.0,robust_dispersion,"0.5283,0.8207,0.4014,0.0764,0.1914,0.4729,2.4417,1.9445,0.2157,0.9313,1.2872,1.1679,0.2551,0.0764,1.3563,0.1417,1.0024,1.1992,2.1825,2.4624,2.4670,2.4451,2.4467,2.4604,2.3621,2.4153,2.3430,2.0665,2.1159,2.2026,2.2885,2.3531,2.3465,2.3359,2.3158,2.2888,2.3919,2.4392,2.3558,2.3630,2.3966,2.4276,2.2587,1.8587,1.9719,1.3272,1.8337,2.0959,2.4588,2.4104,2.3077,2.2701,2.4454,2.3076,2.3293",
EP00004,T11/day_658/block_5,fit,RATE_LOSS,fast,crossing,18,55,18,True,0.0,distribution_shift,"0.6665,0.1154,0.4704,0.2849,0.1462,0.6825,0.3246,0.1318,0.4215,0.8951,0.9396,0.7114,0.1154,1.1057,0.7922,1.0640,10.2126,26.4910,51.2279,74.9979,98.3140,109.8852,112.6562,116.5119,116.3006,114.4569,113.6381,112.4118,112.2226,110.0215,109.5861,110.8880,110.2912,113.1539,113.2364,112.7771,114.1490,114.1492,114.1204,113.3827,113.7408,113.9982,111.1773,111.0334,111.1095,110.9363,111.8994,113.0713,113.2999,112.6821,112.4676,110.8122,109.6774,108.0859,110.3199",
EP00004,T11/day_658/block_5,fit,RATE_LOSS,fast,crossing,18,55,18,True,0.0,decoder_guard,"2.5460,2.5287,1.1325,0.3448,0.5040,0.6210,1.6561,1.5741,0.7375,0.6560,0.5838,0.1291,0.3223,0.9355,1.2364,4.9967,7.2031,11.2641,15.7559,19.5359,23.3125,23.7323,26.0754,26.0456,26.7858,26.5230,26.5006,26.7978,27.0439,27.4768,27.3467,27.3576,27.3897,27.7910,27.5956,26.1243,24.2234,22.8121,21.9088,21.9474,21.5510,21.1676,20.9778,19.1360,18.8592,17.3728,16.1539,16.3422,18.4596,21.4666,22.4322,22.8029,24.8176,24.9278,24.5629","profile,profile,profile,profile,profile,profile,level,level,profile,profile,profile,profile,profile,profile,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level"
EP00004,T11/day_658/block_5,fit,RATE_LOSS,fast,crossing,18,55,18,True,0.0,decoder_guard_joint,"2.1877,2.2419,0.1549,0.0000,0.3865,0.0000,0.0000,0.0000,0.0000,0.3547,0.5642,0.0000,0.0000,0.0405,0.0000,0.0000,1.3672,2.3492,4.0566,5.4907,7.1945,7.9450,9.0644,9.1497,9.1885,8.9101,9.1906,9.4602,9.7410,9.9592,9.8816,9.7750,9.4182,9.6755,8.9900,8.0356,7.6443,7.4707,7.3576,7.4787,7.4223,7.3403,7.1628,6.6960,6.8600,6.9366,7.2365,7.3056,7.0924,7.3629,7.3117,7.3077,7.7541,7.5427,7.5114","profile,profile,profile,profile,profile,profile,level,level,profile,profile,profile,profile,profile,profile,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level,level"
