participant,n_windows,min_eigenvalue,max_eigenvalue,condition_number,singular
T11,10,1e-06,17.703817107043328,17703817.10704333,True
T11,20,0.05724356674726791,9.401810677414243,164.24222339120698,False
T11,40,0.049845990110145094,11.480084895228009,230.3111016525175,False
T11,80,0.051663301402421896,10.790638313020704,208.86466834492416,False
T11,160,0.043132625630232686,12.971924821059764,300.74507710857813,False
T11,221,0.04238862046214595,12.576368528898804,296.6920931085691,False
T5,10,1e-06,27.763491885976553,27763491.885976553,True
T5,20,0.0874282629809281,17.6112126329998,201.43614927865568,False
T5,40,0.08305562505456088,21.811646813495962,262.61492583033913,False
T5,80,0.0767082833337679,22.8290384006008,297.6085164266893,False
T5,160,0.0722269836553766,24.988044605760518,345.9655012728806,False
T5,211,0.06710231222898229,24.241649203784057,361.26399223116186,False
