participant,trial_day,block,primary,parallel,median_angle_error,n_silent_channels,n_lowvar_channels,mean_firing,mean_raw_variance,median_raw_variance,mean_avg_outliers,p95_avg_outliers,block_order
T11,658,5,23.56847320641416,2.5045876367281057,29.579992294311523,0,0,26.533514652614226,98755.93220749986,283.7498941534721,0.046746923443962037,0.0555555559694767,0
T11,658,7,21.737660260977933,1.96148311070913,22.744230270385746,0,0,22.464311913855425,1481.1751727682204,287.30709486346586,0.6834080277523532,1.0416666269302368,1
T11,665,6,28.17278147347366,1.932412261098644,18.35647773742676,0,0,20.968566193480434,724.4361599452659,287.0209560022653,0.02503653185319685,0.0,2
T11,665,7,27.5503309588073,1.95186545578749,21.995939254760746,0,0,20.973659289725155,725.4249824668415,294.9506240041453,1.0193673109169665,0.0,3
T11,672,19,36.661977026291325,1.3575127423358857,26.72878074645996,0,0,23.378934638872156,4604.555607665275,358.0241957800217,0.14363583100103536,1.0416666269302368,4
T11,672,20,36.77088248051421,2.8594577825257943,22.212743759155277,0,0,24.788852393447844,45101.95470974944,352.30359037994447,2.273817318089492,1.0416666269302368,5
T11,675,6,43.26088041646096,1.5840007945130024,20.0447940826416,0,0,21.66238145083015,839.2407251584577,282.86759838880346,0.5205890796165857,1.0416666269302368,6
T11,675,7,50.40209403612117,2.5186978599662706,26.11283493041992,0,0,19.482680411872252,1173.7589030021643,330.2879453949614,16.559447638650933,100.0,7
T11,689,13,40.34926738371586,0.910042962254054,38.25126075744629,2,2,18.457262418832347,654.8440063168688,273.19325974602884,1.0387926294058594,0.0,8
T11,689,14,41.83318943246864,1.3751344519189077,38.42596054077149,1,1,18.245227944124693,654.8500895597199,291.2640594941938,0.36224796486537336,0.0,9
T11,692,6,36.75770634046891,1.6006919749320017,24.331335067749023,3,3,27.22974349655279,831.0150101584081,300.1984684453106,0.008888778600862747,0.0,10
T11,692,7,37.98551952476686,1.550068781662441,23.71845531463623,3,3,26.95598142698571,849.901352183471,320.04679874060923,1.4262560010101668,0.0034722222480922937,11
T11,702,9,46.67599603297287,2.71247486699267,28.80242156982422,0,0,16.852375932854425,1163.008590621452,309.2901540371298,0.6125868196321542,0.609375,12
T11,702,10,45.713014693752015,5.820818477906808,39.83614158630371,0,0,16.580941600581095,1068.9883455038116,351.5354416854217,8.830832776994463,100.0,13
T11,709,6,54.00741835012902,1.523898376529257,28.86959934234619,1,1,18.89071980837176,1059.808360169067,257.98920891289197,0.5641639731547787,0.0,14
T11,709,7,52.13685065709672,1.2994547510244256,36.460357666015625,0,0,18.662929617995584,1021.3789992180724,255.5231103589876,5.0273930406969504e-05,0.0,15
T11,715,10,54.58508498180015,0.8612625635827106,40.90193939208984,2,3,17.509835334298398,658.1043696250601,233.06172317779325,0.07448541646162476,0.0,16
T11,715,11,56.13421742585759,1.1970898660712592,56.966453552246094,2,3,17.484035310774534,703.9423838261811,233.9372081034065,0.03246800142560094,0.0,17
T11,727,8,55.76722444223341,0.640675113051988,84.52923965454102,1,2,16.28403736569564,1007.6853064277193,238.01237799018867,0.4278267389920572,1.0434027910232544,18
T11,727,9,57.798880994678825,0.6827646198299404,88.73571014404297,1,2,16.682741187162197,1628.7819736522954,237.58921727926506,0.40518607587880756,1.0434027910232544,19
T11,751,16,48.729025938407545,1.4600395814617573,24.617960929870605,0,1,18.167540038294,680.279349595222,279.6958307422341,0.3336835736845799,0.0017361111240461469,20
T11,758,16,64.48040972134007,0.312103436056201,122.30926513671876,0,0,11.075652578820435,488.01947883455915,233.85831023971997,0.017146057949250507,0.0,21
T11,758,18,64.50785906301533,0.3604136469689074,125.403076171875,0,0,11.112539926669909,423.64856356522137,237.21052668848154,0.020780532992012265,0.0,22
T11,770,5,54.98837569455101,0.566168197415214,117.73280715942384,0,0,13.214336312166038,2159.081676182424,240.79988113488946,0.31895583808192035,1.0416666269302368,23
T11,770,6,54.13248016950537,0.8232367112840449,89.06304168701172,0,0,13.317894928903335,4477.574583696738,255.97992212469438,0.08216045057672226,1.0416666269302368,24
T11,783,12,67.54979564098608,0.430423650223252,106.30770111083984,2,2,11.847697920613525,715.7913780262157,209.50942026453524,0.3168794908192156,0.0,25
T11,783,14,67.73663950551207,0.5522970256955981,113.18214797973631,2,2,11.661470259368752,747.4399442036265,214.8998942340714,0.029446760773082045,0.0,26
T11,800,3,62.0577026525565,0.5831074692598697,93.6069107055664,1,1,10.608569582288295,572.664046971664,326.6662337845761,9.498483750151607,100.0,27
T11,800,4,58.38491328581759,0.5019901813612082,101.99018478393556,1,1,11.531073663210963,463.02026266849634,270.60704007594745,0.5599207262539125,0.0,28
