day,auc,n_healthy_windows,P1_healthy_dispersion,P2_mean_firing_rate,P3_active_channels,P4_within_day_drift,P5_decoder_error
658,0.8785,341,0.8648499983504297,41.95460319949818,384.0,1.5526687070472098,33.62466663194343
672,0.7219,110,0.6671700020030511,48.59888592645693,383.0,0.9375928603170882,72.2736133178743
675,0.9062,110,0.7165900004713059,44.97985989236213,384.0,1.85592186084426,54.554284437223686
689,0.5636,110,0.6232448031116473,45.70776977019251,382.0,1.1121688167629742,77.51742845835683
692,0.8867,110,0.5930399999999998,48.796634709973056,381.0,0.9654605206688347,43.178799085707254
702,0.4556,110,1.3294231578348126,46.56842576289597,382.0,0.807880192819832,50.482606071440905
709,0.7063,110,0.5710206077873465,51.69572779444151,383.0,0.7363572736382943,59.45643475764124
715,0.5536,110,0.48802249952869425,50.50213384994083,382.0,0.5583622407591433,80.1254648173049
751,0.6481,55,0.49419999999999953,46.35356880068157,384.0,0.7109066004485667,78.02043426019569
758,0.685,110,0.4870522650699657,49.87019447452937,384.0,0.8532901641988794,45.27497912452755
770,0.4825,110,1.025088816869348,51.02082118956251,379.0,1.319761496588214,80.05021076050689
783,0.3187,111,0.44477999999999973,49.30584531391136,379.0,0.6180595789062926,89.29621356182648
800,0.9739,110,0.7412999993814111,48.77714468821978,382.0,1.3089267658778274,42.480696649594606
