mode_a,mode_b,n_a,n_b,auc
CHANNEL_DROPOUT,GAIN_DRIFT,53,51,0.6245
CHANNEL_DROPOUT,GEOMETRY_ROTATION,53,49,0.9996
CHANNEL_DROPOUT,RATE_LOSS,53,51,0.6574
GAIN_DRIFT,GEOMETRY_ROTATION,51,49,0.9976
GAIN_DRIFT,RATE_LOSS,51,51,0.5863
GEOMETRY_ROTATION,RATE_LOSS,49,51,0.9992
